suite,fid,iid,ela_level.mmce_qda_50,ic.eps.max,disp.ratio_mean_02,pca.expl_var_PC1.cor_x,ela_meta.lin_simple.intercept,ela_level.mmce_lda_25,disp.diff_median_02,ela_level.mmce_qda_25,ela_level.lda_qda_25,disp.diff_median_10,ela_level.lda_mda_25,ela_level.lda_qda_50,disp.diff_median_25,ela_level.lda_mda_50,ela_distr.number_of_peaks,disp.ratio_mean_05,disp.diff_mean_05,ela_level.lda_mda_10,ela_distr.skewness,pca.expl_var.cov_x,pca.expl_var_PC1.cov_init,ela_level.mmce_lda_50,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,ic.m0,ela_level.lda_qda_10,disp.ratio_median_05,disp.diff_mean_25,ela_level.mmce_lda_10,ela_level.qda_mda_25,ela_meta.lin_simple.coef.min,disp.diff_median_05,disp.ratio_mean_25,pca.expl_var.cor_init,pca.expl_var.cov_init,ela_level.qda_mda_50,ic.h.max,ela_meta.lin_simple.adj_r2,ela_meta.quad_simple.cond,nbc.nn_nb.cor,nbc.nb_fitness.cor,ela_meta.quad_simple.adj_r2,ela_distr.kurtosis,ela_level.qda_mda_10,ela_level.mmce_qda_10,pca.expl_var.cor_x,ic.eps.ratio,ela_level.mmce_mda_10,disp.ratio_mean_10,pca.expl_var_PC1.cov_x,ela_meta.lin_simple.coef.max_by_min,disp.ratio_median_02,ela_level.mmce_mda_25,ela_meta.quad_w_interact.adj_r2,pca.expl_var_PC1.cor_init,nbc.dist_ratio.coeff_var,nbc.nn_nb.sd_ratio,ela_meta.lin_w_interact.adj_r2,ela_meta.lin_simple.coef.max,nbc.nn_nb.mean_ratio,ela_level.mmce_mda_50,disp.diff_mean_10,cluster
bbob,3,1,0.1512,16.077,0.6862999999999999,0.12035,187.11495,0.21405,-4.0039,0.12795,1.66525,-2.6691000000000003,1.35825,1.7745,-1.7827,1.64805,2.0,0.74425,-3.23955,1.08685,1.12855,0.9,0.9989,0.2675,0.7896000000000001,0.85945,-3.97265,0.55795,1.48955,0.7432,-1.7917999999999998,0.1024,0.80355,1.3130000000000002,-3.2575000000000003,0.8585499999999999,0.9091,0.0909,0.93105,0.83165,0.3974,21.6118,0.0991,-0.40535,0.922,1.5435,0.7316,0.06795,0.9,1.4665,0.094,0.79005,0.12035,26.19025,0.6844,0.1578,0.97885,0.15095,0.0628,0.1081,0.4073,35.994150000000005,0.966,0.1613,-2.6597,1
bbob,3,2,0.05305,30.654,0.6931,0.12065,2511.0254,0.14195,-3.9371,0.0993,1.42155,-2.4613500000000004,1.1960000000000002,1.0215999999999998,-1.50395,1.0210499999999998,16.0,0.7553,-3.09955,1.0943,1.31645,0.9,1.0,0.0537,0.806,0.8815,-3.88705,0.5404,1.64415,0.75575,-1.5202,0.09675,0.8405,1.29575,-3.1002,0.88,0.8182,0.0909,1.0036,0.7485999999999999,0.7213,213.73485,0.0923,-0.2724,0.9741,0.3224,0.6758,0.0584999999999999,0.9,1.967,0.0882,0.8052,0.12065,601.7927999999999,0.6897,0.11895,0.9926,0.17015,0.06745,0.1015,0.7239,777.9603,0.9617,0.0525,-2.46755,0
bbob,3,3,0.1127,77.0703,0.7188,0.1197,2858.3609,0.12885,-3.6000500000000004,0.07995,1.6123,-2.2964,1.31255,1.4205,-1.5063,1.41565,5.0,0.7767,-2.8288,1.12635,0.96995,0.9,1.0,0.1594999999999999,0.819,0.8813,-3.56255,0.53925,1.7226,0.7746999999999999,-1.4953500000000002,0.07025,0.8165,2.2296500000000004,-2.8591,0.88195,0.8182,0.0909,0.99835,0.7778499999999999,0.69475,129.6424,0.089,-0.3523,0.959,0.3412,0.65655,0.04145,0.9,2.2472,0.06295,0.81985,0.1197,216.83275,0.7164,0.0973,0.9897,0.16875,0.0681,0.09385,0.69785,476.80635,0.9616,0.1132,-2.2812,0
bbob,3,4,0.1139999999999999,27.9542,0.69555,0.12085,1239.88915,0.17005,-3.87565,0.11745,1.4517,-2.51835,1.22845,1.56765,-1.6254499999999998,1.5861999999999998,7.5,0.75515,-3.1014,1.0889000000000002,1.48805,0.9,0.9999,0.1775499999999999,0.80155,0.8719,-3.85635,0.55155,1.55465,0.75385,-1.63,0.09575,0.83415,1.77215,-3.12395,0.8713,0.8182,0.0909,1.0097,0.7804,0.5791999999999999,64.4005,0.0996,-0.34205,0.92,1.8605,0.6930499999999999,0.06195,0.9,1.8669,0.08885,0.8016,0.12085,124.72715,0.69455,0.1395,0.9876,0.1617,0.0658499999999999,0.11315,0.5833,214.46365,0.96335,0.11185,-2.513,0
bbob,3,5,0.17095,24.9179,0.68285,0.12185,984.4313,0.21775,-4.066050000000001,0.1386,1.57355,-2.7572,1.17845,1.4611999999999998,-1.87585,1.1755,1.0,0.7381500000000001,-3.3167,1.05385,1.00425,0.9,0.9995,0.25,0.7827,0.85215,-4.0181,0.56725,1.3847999999999998,0.73685,-1.88835,0.1025,0.7504500000000001,2.12345,-3.33925,0.8509,0.9091,0.0909,0.8043,0.8298000000000001,0.47995,21.26895,0.1081,-0.41255,0.9332,0.9264,0.76325,0.0742,0.9,1.6867,0.0979,0.7829,0.12185,38.91695,0.6797,0.1847,0.9861,0.15595,0.06195,0.1125,0.48735,80.64595,0.9667,0.212,-2.75015,1
bbob,4,1,0.1908,40.421,0.6980999999999999,0.11965,1555.80555,0.2491499999999999,-3.8608,0.1747,1.43275,-2.6354,1.1446,1.4597,-1.776,1.2182499999999998,11.0,0.7465,-3.2107,0.9963,1.82885,0.9,1.0,0.2773,0.79235,0.8601000000000001,-3.8243,0.5778,1.10125,0.7456,-1.7833,0.1001,0.79975,2.3968,-3.22805,0.8592500000000001,0.9091,0.0909,0.84,0.7556499999999999,0.3893999999999999,122.69985,0.1034,-0.3385,0.79975,2.77145,0.90155,0.0908,0.9,2.2472,0.1005,0.7925,0.11965,170.8444,0.6957500000000001,0.2174,0.9585,0.14945,0.0673,0.1152,0.3928,402.95825,0.96255,0.2264499999999999,-2.6284,1
bbob,4,2,0.10085,168.7436,0.7093,0.1193,5382.3096000000005,0.1711,-3.70885,0.11895,1.4238,-2.43925,1.2284,1.75955,-1.5294500000000002,2.0185,16.0,0.7595000000000001,-3.04665,1.0726,1.3209499999999998,0.9,1.0,0.1760499999999999,0.80775,0.8795,-3.6822,0.55565,1.39925,0.7582,-1.5262,0.0943,0.8567,4.5982,-3.0686,0.87955,0.8182,0.0909,1.14475,0.73405,0.6084,449.86965,0.09625,-0.3241,0.94385,1.0735,0.768,0.0667,0.9,2.6276,0.0875,0.8088500000000001,0.1193,280.6847,0.70775,0.13865,0.9964,0.16285,0.06925,0.1094,0.6134999999999999,1295.835,0.9606,0.08765,-2.4219,0
bbob,4,3,0.17495,38.5999,0.69285,0.12025,1650.8167,0.20235,-3.93495,0.14865,1.3525,-2.55925,1.1321,1.2465,-1.68395,1.16045,6.5,0.7483500000000001,-3.1876,1.04755,1.40775,0.9,0.9999,0.21805,0.7983,0.8672,-3.89045,0.567,1.3441999999999998,0.7478,-1.6905,0.10025,0.8349500000000001,0.93045,-3.2002,0.8665499999999999,0.8182,0.0909,0.9309,0.7987,0.5777,68.1235,0.0983,-0.34255,0.9197,1.28935,0.78565,0.075,0.9,1.9469,0.096,0.7983,0.12025,287.1761,0.68985,0.17835,0.9796,0.16315,0.06615,0.1081,0.5822,267.01155,0.96325,0.1873,-2.5543500000000003,0
bbob,4,4,0.1447,41.37445,0.6931499999999999,0.12145,3107.7627,0.22955,-3.89745,0.1512,1.5173,-2.60205,1.2184,1.3548,-1.6586,1.37565,16.0,0.74715,-3.20325,1.0209,1.41215,0.9,1.0,0.19565,0.7949999999999999,0.8693,-3.88715,0.56495,1.25895,0.74655,-1.66225,0.1027,0.7992,4.0708,-3.21585,0.8688,0.8182,0.0909,1.01395,0.7274499999999999,0.5671999999999999,448.318,0.0984,-0.31805,0.9124,1.2149,0.813,0.08225,0.9,2.3774,0.10085,0.7947,0.12145,191.90025,0.6928000000000001,0.1891,0.985,0.16085,0.0681499999999999,0.10585,0.57165,782.97515,0.9615,0.1425,-2.60065,0
bbob,4,5,0.1518,27.9542,0.6980500000000001,0.12135,2867.22635,0.275,-3.8506,0.1800999999999999,1.5274,-2.57435,1.1496499999999998,1.408,-1.71635,1.361,10.5,0.75005,-3.1659,1.0,1.724,0.9,1.0,0.2148499999999999,0.79715,0.86475,-3.82515,0.5696,1.043,0.7502500000000001,-1.7243,0.1,0.7524,2.3224,-3.1688,0.8639,0.9091,0.0909,0.9647,0.73385,0.52215,220.24645,0.1041,-0.2895999999999999,0.89595,2.1047,0.9582,0.0959,0.9,2.3073,0.1,0.7967500000000001,0.12135,346.08445,0.69665,0.2395499999999999,0.9874,0.1589,0.0678,0.1074499999999999,0.5285,802.1597,0.9619,0.15675,-2.5751,1
bbob,5,1,0.022,2.3193,0.8358000000000001,0.1196,195.1376,0.0132,-2.10105,0.02475,0.5338,-1.33365,0.46555,0.75075,-0.8623,0.7478,1.0,0.8661,-1.6961499999999998,1.11175,0.0095,0.9,0.96515,0.0164,0.8949,0.93205,-2.08015,0.51555,1.83575,0.86595,-0.85365,0.03635,0.8533999999999999,1.0,-1.70085,0.9326,0.8182,0.0909,0.9662,0.82665,1.0,16.3613,0.09845,-0.3380499999999999,1.0,-0.2946,0.6093999999999999,0.01985,0.9,0.5656,0.0322,0.8945000000000001,0.1196,10.0,0.83445,0.0284999999999999,1.0,0.18315,0.0857499999999999,0.08205,1.0,10.0,0.94695,0.0224,-1.3369,0
bbob,5,2,0.0241,2.3193,0.82255,0.11985,860.3376,0.0132,-2.27325,0.0249,0.52205,-1.4178,0.4712,0.79405,-0.8563000000000001,0.7706500000000001,1.0,0.8585,-1.79275,1.10265,0.0189,0.9,0.96545,0.0187,0.8883,0.93255,-2.24785,0.5159499999999999,1.77235,0.85795,-0.8478,0.03555,0.88395,1.0,-1.80195,0.93305,0.8182,0.0909,0.9823,0.82685,1.0,11.548,0.0967,-0.3360499999999999,1.0,-0.29325,0.6156999999999999,0.01935,0.9,0.5656,0.0319,0.88835,0.11985,10.0,0.8208,0.0275499999999999,1.0,0.1839,0.0857,0.0774499999999999,1.0,10.0,0.94725,0.0248,-1.4147500000000002,0
bbob,5,3,0.0224,2.3193,0.8289,0.11995,271.0576,0.01415,-2.15965,0.02665,0.51385,-1.3876,0.46325,0.7577499999999999,-0.8555,0.716,1.0,0.8642,-1.72035,1.1124,0.0017,0.9,0.96485,0.017,0.8906499999999999,0.9326,-2.1671,0.5136499999999999,1.75,0.86425,-0.8472500000000001,0.03495,0.9187,1.0,-1.7225,0.93315,0.8182,0.0909,0.96115,0.82755,1.0,17.2499,0.09255,-0.3409999999999999,1.0,-0.2629,0.6125499999999999,0.0195,0.9,0.5656,0.0319,0.8909,0.11995,10.0,0.8298000000000001,0.02855,1.0,0.1826,0.08555,0.08085,1.0,10.0,0.9474,0.0229499999999999,-1.382,0
bbob,5,4,0.024,2.3193,0.82725,0.121,1146.0176,0.01235,-2.20905,0.0258499999999999,0.4884,-1.38705,0.4364,0.7664500000000001,-0.8508,0.7745,1.0,0.86465,-1.71465,1.0806,-0.0021,0.9,0.9652,0.018,0.8907,0.93295,-2.1879,0.51345,1.83275,0.8634,-0.8426,0.03475,0.8923,1.0,-1.7339,0.9335,0.8182,0.0909,1.01805,0.82665,1.0,19.7445,0.08965,-0.33835,1.0,-0.2966999999999999,0.59415,0.01925,0.9,0.5656,0.03215,0.8914500000000001,0.121,10.0,0.8259,0.0286,1.0,0.1843,0.0856,0.0744,1.0,10.0,0.9471,0.0229499999999999,-1.37495,0
bbob,5,5,0.02375,2.3193,0.82745,0.11985,166.8976,0.0132,-2.1816,0.0253499999999999,0.5140499999999999,-1.3207,0.48415,0.7438,-0.8345,0.74685,1.0,0.86545,-1.7047,1.0699999999999998,-0.0078,0.9,0.96535,0.018,0.8958999999999999,0.9342,-2.1853,0.51135,1.7766000000000002,0.8649,-0.82745,0.0341,0.9066,1.0,-1.71435,0.9347,0.8182,0.0909,1.0086,0.827,1.0,31.0142,0.08655,-0.3383,1.0,-0.2803,0.60005,0.0183,0.9,0.5656,0.0317,0.896,0.11985,10.0,0.82805,0.02845,1.0,0.1844,0.0856,0.0744,1.0,10.0,0.94705,0.0231,-1.31735,0
bbob,6,1,0.0880499999999999,16952.3234,0.75205,0.1200499999999999,639231.52425,0.11025,-3.19605,0.0733999999999999,1.48495,-2.03695,1.25395,1.3116,-1.31705,1.2009,14.0,0.80325,-2.4918500000000003,1.11245,0.8314999999999999,0.9,1.0,0.11515,0.83945,0.89615,-3.14095,0.52395,1.6595,0.8009999999999999,-1.30225,0.07085,0.84145,4567.7320500000005,-2.5245,0.8972,0.8182,0.0909,0.91255,0.8140000000000001,0.8080499999999999,2.77775,0.0858,-0.3298999999999999,0.8738,0.6434,0.6793,0.0431,0.9,4.5295,0.06375,0.8408500000000001,0.1200499999999999,17.01685,0.7482,0.0866,0.9756,0.1737,0.0711,0.0859,0.90905,79676.04139999999,0.9595,0.0963,-2.01575,0
bbob,6,2,0.109,15459.2774,0.7410000000000001,0.11945,546795.2076,0.1394,-3.36415,0.0902,1.53295,-2.23605,1.1729,1.45575,-1.48935,1.1833,15.0,0.78745,-2.6923000000000004,1.07725,0.8874,0.9,1.0,0.1591,0.82385,0.8826499999999999,-3.28095,0.52995,1.5224,0.78375,-1.4672999999999998,0.07605,0.76195,2298.11315,-2.74465,0.8842,0.8182,0.0909,0.81055,0.81855,0.7195,5.0007,0.0925999999999999,-0.34165,0.8276,0.88435,0.7061,0.05005,0.9,4.4695,0.0703999999999999,0.82715,0.11945,22.1805,0.7349,0.11845,0.96805,0.16925,0.0672,0.0965999999999999,0.8483499999999999,48972.706300000005,0.963,0.1339,-2.1901,0
bbob,6,3,0.10085,16188.5969,0.72715,0.1202,696075.5481499999,0.1235,-3.5054,0.08015,1.50785,-2.1951,1.20795,1.4439000000000002,-1.4011,1.19455,14.0,0.78365,-2.7405,1.0883,0.7514000000000001,0.9,1.0,0.1483499999999999,0.827,0.8895500000000001,-3.4565,0.53025,1.52895,0.7812,-1.39475,0.0725,0.7979499999999999,14515.6235,-2.77615,0.88985,0.8182,0.0909,0.8228500000000001,0.8187,0.7686,3.63845,0.0884,-0.34535,0.8737999999999999,0.62205,0.71305,0.04645,0.9,4.5295,0.0666,0.82865,0.1202,3.6469,0.72375,0.10185,0.97105,0.1710499999999999,0.06805,0.0950999999999999,0.86025,53495.5877,0.9622,0.12395,-2.17015,0
bbob,6,4,0.08625,22353.6965,0.7502,0.11985,976960.72435,0.1135,-3.23055,0.06975,1.6445,-2.0815,1.23685,1.5066,-1.35295,1.2383,17.0,0.79735,-2.5671,1.11255,0.6343,0.9,1.0,0.13,0.83595,0.89335,-3.16435,0.5248,1.7346499999999998,0.79325,-1.3373,0.06765,0.76495,3977.5735,-2.62345,0.89445,0.8182,0.0909,0.8216,0.8159000000000001,0.8041,4.387700000000001,0.09045,-0.33935,0.8794,0.2355,0.63715,0.0391,0.9,4.6296,0.0611499999999999,0.8379,0.11985,21.673,0.74545,0.09085,0.98425,0.1745,0.06945,0.0947,0.9083,85399.0073,0.96115,0.10665,-2.0535,0
bbob,6,5,0.1376,10209.6066,0.7758499999999999,0.1192,271829.35360000003,0.1585,-2.8916,0.1062,1.4804,-2.0021500000000003,1.2284000000000002,1.5333,-1.36765,1.3153,11.0,0.8105500000000001,-2.3996,1.0784,1.0861,0.9,1.0,0.2099,0.8423,0.89225,-2.8385,0.5383,1.43485,0.8086,-1.3515,0.0795,0.82075,2043.9624,-2.42875,0.8933,0.9091,0.0909,0.8623000000000001,0.8086,0.56255,2.97475,0.0955,-0.351,0.7253000000000001,1.5388000000000002,0.764,0.05515,0.9,4.2893,0.0733,0.8443,0.1192,14.7771,0.77215,0.12915,0.9312,0.1616,0.0688,0.091,0.74465,30095.7391,0.962,0.1593,-1.97265,1
bbob,7,1,0.0829999999999999,48.6056,0.7893,0.121,1720.30695,0.1675499999999999,-2.7483500000000003,0.0781,2.0979,-1.8024,1.47825,1.80935,-1.19875,1.62255,2.0,0.8302499999999999,-2.15015,1.10355,1.20105,0.9,0.9999,0.1491,0.85795,0.9055,-2.66885,0.5324,2.20125,0.8269,-1.1724,0.1046499999999999,0.70865,2.40965,-2.19655,0.90745,0.8182,0.0909,0.906,0.81075,0.6837,4.9238,0.0897,-0.32105,0.762,1.664,0.50525,0.0477,0.9,1.9469,0.0944,0.86075,0.121,72.4473,0.7834,0.1123,0.99735,0.1674,0.07195,0.0927,0.92205,183.26705,0.95895,0.0917,-1.76405,0
bbob,7,2,0.0939,38.5999,0.7796,0.12125,1224.04705,0.2193,-2.8692,0.0882,2.487,-1.8909,1.57365,2.0919,-1.2367,1.72085,2.0,0.8222,-2.2525,1.04905,1.2343000000000002,0.9,0.9999,0.19665,0.85105,0.90255,-2.79125,0.5367,1.9118,0.81815,-1.20295,0.11055,0.6332500000000001,4.189450000000001,-2.30795,0.90505,0.8182,0.0909,0.81255,0.8141,0.5702499999999999,5.20415,0.09035,-0.33415,0.6855,1.802,0.55235,0.05815,0.9,1.8468,0.1056,0.8536,0.12125,29.44065,0.77385,0.13915,0.9964,0.16075,0.0698,0.09395,0.88225,128.29615,0.9609,0.1138,-1.85475,0
bbob,7,3,0.0915,36.861,0.7836000000000001,0.12135,1126.2589,0.24385,-2.7967,0.09985,2.4348,-1.80855,1.6027,3.3076,-1.2237,2.1221,2.0,0.8264,-2.1988,1.0438,1.5666,0.9,0.9998,0.30425,0.8574999999999999,0.9036,-2.74105,0.5436000000000001,1.8146,0.8228,-1.20265,0.1047,0.65985,3.63395,-2.2486,0.90505,0.9091,0.0909,0.6435500000000001,0.81745,0.2677,4.8572500000000005,0.0851,-0.3450999999999999,0.42285,3.6819,0.5710999999999999,0.0574,0.9,1.8468,0.10075,0.86085,0.12135,20.07905,0.7797000000000001,0.1527,0.996,0.14005,0.06925,0.09395,0.8455,72.62625,0.9614,0.14345,-1.7629,1
bbob,7,4,0.10555,26.6948,0.7416,0.1194,943.3897,0.2004,-3.3535,0.09565,2.0951500000000003,-2.1535,1.4554,2.41495,-1.4309500000000002,1.80695,1.0,0.7926500000000001,-2.6262,1.0952,0.99035,0.9,0.9996,0.2566,0.8303,0.8872,-3.2727,0.5433,1.7875,0.7887500000000001,-1.40075,0.0936,0.6943,2.33325,-2.6802,0.8894,0.9091,0.0909,0.7475499999999999,0.82665,0.39815,5.599600000000001,0.10215,-0.3676,0.5846,1.3811,0.6085,0.05275,0.9,1.6667,0.086,0.8331,0.1194,27.66845,0.7356499999999999,0.13735,0.9937,0.1511,0.0661,0.1105,0.8098000000000001,63.99385,0.96375,0.1427,-2.1142,1
