suite,fid,iid,ela_meta.quad_simple.cond,ela_level.lda_qda_10,ic.eps.ratio,disp.diff_median_25,ela_level.lda_mda_25,nbc.dist_ratio.coeff_var,ela_meta.quad_simple.adj_r2,ela_level.qda_mda_50,pca.expl_var_PC1.cor_init,ela_meta.lin_simple.adj_r2,disp.ratio_median_02,disp.diff_mean_05,pca.expl_var.cov_init,ela_level.mmce_qda_10,ela_level.mmce_lda_50,ela_level.lda_mda_10,nbc.nn_nb.sd_ratio,disp.ratio_mean_10,disp.diff_mean_25,ela_level.mmce_mda_10,ela_level.lda_mda_50,disp.ratio_median_25,pca.expl_var_PC1.cor_x,ela_meta.quad_w_interact.adj_r2,pca.expl_var.cor_init,ela_meta.lin_simple.coef.max_by_min,disp.ratio_median_05,disp.ratio_mean_05,pca.expl_var.cor_x,ela_level.mmce_lda_25,nbc.nn_nb.mean_ratio,ela_distr.kurtosis,disp.diff_median_02,ela_level.lda_qda_50,ela_level.mmce_qda_25,disp.ratio_median_10,ela_distr.skewness,disp.diff_mean_02,disp.ratio_mean_25,nbc.nb_fitness.cor,ela_level.mmce_mda_25,ela_level.lda_qda_25,pca.expl_var_PC1.cov_x,disp.diff_median_10,ela_meta.lin_simple.coef.min,ela_level.qda_mda_25,ela_meta.lin_simple.intercept,ic.h.max,pca.expl_var.cov_x,ela_level.qda_mda_10,ic.eps.max,nbc.nn_nb.cor,pca.expl_var_PC1.cov_init,disp.diff_mean_10,disp.ratio_mean_02,ela_level.mmce_qda_50,ela_distr.number_of_peaks,ela_meta.lin_w_interact.adj_r2,ela_meta.lin_simple.coef.max,ela_level.mmce_mda_50,ic.m0,disp.diff_median_05,ela_level.mmce_lda_10,clustering_12_clusters
bbob,3,1,21.6118,1.48955,1.4665,-1.7827,1.35825,0.0628,0.922,0.93105,0.15095,0.3974,0.6844,-3.23955,0.0909,0.06795,0.2675,1.08685,0.1081,0.79005,-1.7917999999999998,0.094,1.64805,0.85945,0.12035,0.97885,0.9091,26.19025,0.7432,0.74425,0.9,0.21405,0.966,1.5435,-4.0039,1.7745,0.12795,0.7896000000000001,1.12855,-3.97265,0.8585499999999999,-0.40535,0.1578,1.66525,0.12035,-2.6691000000000003,1.3130000000000002,0.80355,187.11495,0.83165,0.9,0.7316,16.077,0.0991,0.9989,-2.6597,0.6862999999999999,0.1512,2.0,0.4073,35.994150000000005,0.1613,0.55795,-3.2575000000000003,0.1024,0
bbob,3,2,213.73485,1.64415,1.967,-1.50395,1.1960000000000002,0.06745,0.9741,1.0036,0.17015,0.7213,0.6897,-3.09955,0.0909,0.0584999999999999,0.0537,1.0943,0.1015,0.8052,-1.5202,0.0882,1.0210499999999998,0.8815,0.12065,0.9926,0.8182,601.7927999999999,0.75575,0.7553,0.9,0.14195,0.9617,0.3224,-3.9371,1.0215999999999998,0.0993,0.806,1.31645,-3.88705,0.88,-0.2724,0.11895,1.42155,0.12065,-2.4613500000000004,1.29575,0.8405,2511.0254,0.7485999999999999,0.9,0.6758,30.654,0.0923,1.0,-2.46755,0.6931,0.05305,16.0,0.7239,777.9603,0.0525,0.5404,-3.1002,0.09675,0
bbob,3,3,129.6424,1.7226,2.2472,-1.5063,1.31255,0.0681,0.959,0.99835,0.16875,0.69475,0.7164,-2.8288,0.0909,0.04145,0.1594999999999999,1.12635,0.09385,0.81985,-1.4953500000000002,0.06295,1.41565,0.8813,0.1197,0.9897,0.8182,216.83275,0.7746999999999999,0.7767,0.9,0.12885,0.9616,0.3412,-3.6000500000000004,1.4205,0.07995,0.819,0.96995,-3.56255,0.88195,-0.3523,0.0973,1.6123,0.1197,-2.2964,2.2296500000000004,0.8165,2858.3609,0.7778499999999999,0.9,0.65655,77.0703,0.089,1.0,-2.2812,0.7188,0.1127,5.0,0.69785,476.80635,0.1132,0.53925,-2.8591,0.07025,0
bbob,3,4,64.4005,1.55465,1.8669,-1.6254499999999998,1.22845,0.0658499999999999,0.92,1.0097,0.1617,0.5791999999999999,0.69455,-3.1014,0.0909,0.06195,0.1775499999999999,1.0889000000000002,0.11315,0.8016,-1.63,0.08885,1.5861999999999998,0.8719,0.12085,0.9876,0.8182,124.72715,0.75385,0.75515,0.9,0.17005,0.96335,1.8605,-3.87565,1.56765,0.11745,0.80155,1.48805,-3.85635,0.8713,-0.34205,0.1395,1.4517,0.12085,-2.51835,1.77215,0.83415,1239.88915,0.7804,0.9,0.6930499999999999,27.9542,0.0996,0.9999,-2.513,0.69555,0.1139999999999999,7.5,0.5833,214.46365,0.11185,0.55155,-3.12395,0.09575,0
bbob,3,5,21.26895,1.3847999999999998,1.6867,-1.87585,1.17845,0.06195,0.9332,0.8043,0.15595,0.47995,0.6797,-3.3167,0.0909,0.0742,0.25,1.05385,0.1125,0.7829,-1.88835,0.0979,1.1755,0.85215,0.12185,0.9861,0.9091,38.91695,0.73685,0.7381500000000001,0.9,0.21775,0.9667,0.9264,-4.066050000000001,1.4611999999999998,0.1386,0.7827,1.00425,-4.0181,0.8509,-0.41255,0.1847,1.57355,0.12185,-2.7572,2.12345,0.7504500000000001,984.4313,0.8298000000000001,0.9,0.76325,24.9179,0.1081,0.9995,-2.75015,0.68285,0.17095,1.0,0.48735,80.64595,0.212,0.56725,-3.33925,0.1025,0
bbob,4,1,122.69985,1.10125,2.2472,-1.776,1.1446,0.0673,0.79975,0.84,0.14945,0.3893999999999999,0.6957500000000001,-3.2107,0.0909,0.0908,0.2773,0.9963,0.1152,0.7925,-1.7833,0.1005,1.2182499999999998,0.8601000000000001,0.11965,0.9585,0.9091,170.8444,0.7456,0.7465,0.9,0.2491499999999999,0.96255,2.77145,-3.8608,1.4597,0.1747,0.79235,1.82885,-3.8243,0.8592500000000001,-0.3385,0.2174,1.43275,0.11965,-2.6354,2.3968,0.79975,1555.80555,0.7556499999999999,0.9,0.90155,40.421,0.1034,1.0,-2.6284,0.6980999999999999,0.1908,11.0,0.3928,402.95825,0.2264499999999999,0.5778,-3.22805,0.1001,0
bbob,4,2,449.86965,1.39925,2.6276,-1.5294500000000002,1.2284,0.06925,0.94385,1.14475,0.16285,0.6084,0.70775,-3.04665,0.0909,0.0667,0.1760499999999999,1.0726,0.1094,0.8088500000000001,-1.5262,0.0875,2.0185,0.8795,0.1193,0.9964,0.8182,280.6847,0.7582,0.7595000000000001,0.9,0.1711,0.9606,1.0735,-3.70885,1.75955,0.11895,0.80775,1.3209499999999998,-3.6822,0.87955,-0.3241,0.13865,1.4238,0.1193,-2.43925,4.5982,0.8567,5382.3096000000005,0.73405,0.9,0.768,168.7436,0.09625,1.0,-2.4219,0.7093,0.10085,16.0,0.6134999999999999,1295.835,0.08765,0.55565,-3.0686,0.0943,0
bbob,4,3,68.1235,1.3441999999999998,1.9469,-1.68395,1.1321,0.06615,0.9197,0.9309,0.16315,0.5777,0.68985,-3.1876,0.0909,0.075,0.21805,1.04755,0.1081,0.7983,-1.6905,0.096,1.16045,0.8672,0.12025,0.9796,0.8182,287.1761,0.7478,0.7483500000000001,0.9,0.20235,0.96325,1.28935,-3.93495,1.2465,0.14865,0.7983,1.40775,-3.89045,0.8665499999999999,-0.34255,0.17835,1.3525,0.12025,-2.55925,0.93045,0.8349500000000001,1650.8167,0.7987,0.9,0.78565,38.5999,0.0983,0.9999,-2.5543500000000003,0.69285,0.17495,6.5,0.5822,267.01155,0.1873,0.567,-3.2002,0.10025,0
bbob,4,4,448.318,1.25895,2.3774,-1.6586,1.2184,0.0681499999999999,0.9124,1.01395,0.16085,0.5671999999999999,0.6928000000000001,-3.20325,0.0909,0.08225,0.19565,1.0209,0.10585,0.7947,-1.66225,0.10085,1.37565,0.8693,0.12145,0.985,0.8182,191.90025,0.74655,0.74715,0.9,0.22955,0.9615,1.2149,-3.89745,1.3548,0.1512,0.7949999999999999,1.41215,-3.88715,0.8688,-0.31805,0.1891,1.5173,0.12145,-2.60205,4.0708,0.7992,3107.7627,0.7274499999999999,0.9,0.813,41.37445,0.0984,1.0,-2.60065,0.6931499999999999,0.1447,16.0,0.57165,782.97515,0.1425,0.56495,-3.21585,0.1027,0
bbob,4,5,220.24645,1.043,2.3073,-1.71635,1.1496499999999998,0.0678,0.89595,0.9647,0.1589,0.52215,0.69665,-3.1659,0.0909,0.0959,0.2148499999999999,1.0,0.1074499999999999,0.7967500000000001,-1.7243,0.1,1.361,0.86475,0.12135,0.9874,0.9091,346.08445,0.7502500000000001,0.75005,0.9,0.275,0.9619,2.1047,-3.8506,1.408,0.1800999999999999,0.79715,1.724,-3.82515,0.8639,-0.2895999999999999,0.2395499999999999,1.5274,0.12135,-2.57435,2.3224,0.7524,2867.22635,0.73385,0.9,0.9582,27.9542,0.1041,1.0,-2.5751,0.6980500000000001,0.1518,10.5,0.5285,802.1597,0.15675,0.5696,-3.1688,0.1,0
bbob,5,1,16.3613,1.83575,0.5656,-0.8623,0.46555,0.0857499999999999,1.0,0.9662,0.18315,1.0,0.83445,-1.6961499999999998,0.0909,0.01985,0.0164,1.11175,0.08205,0.8945000000000001,-0.85365,0.0322,0.7478,0.93205,0.1196,1.0,0.8182,10.0,0.86595,0.8661,0.9,0.0132,0.94695,-0.2946,-2.10105,0.75075,0.02475,0.8949,0.0095,-2.08015,0.9326,-0.3380499999999999,0.0284999999999999,0.5338,0.1196,-1.33365,1.0,0.8533999999999999,195.1376,0.82665,0.9,0.6093999999999999,2.3193,0.09845,0.96515,-1.3369,0.8358000000000001,0.022,1.0,1.0,10.0,0.0224,0.51555,-1.70085,0.03635,0
bbob,5,2,11.548,1.77235,0.5656,-0.8563000000000001,0.4712,0.0857,1.0,0.9823,0.1839,1.0,0.8208,-1.79275,0.0909,0.01935,0.0187,1.10265,0.0774499999999999,0.88835,-0.8478,0.0319,0.7706500000000001,0.93255,0.11985,1.0,0.8182,10.0,0.85795,0.8585,0.9,0.0132,0.94725,-0.29325,-2.27325,0.79405,0.0249,0.8883,0.0189,-2.24785,0.93305,-0.3360499999999999,0.0275499999999999,0.52205,0.11985,-1.4178,1.0,0.88395,860.3376,0.82685,0.9,0.6156999999999999,2.3193,0.0967,0.96545,-1.4147500000000002,0.82255,0.0241,1.0,1.0,10.0,0.0248,0.5159499999999999,-1.80195,0.03555,0
bbob,5,3,17.2499,1.75,0.5656,-0.8555,0.46325,0.08555,1.0,0.96115,0.1826,1.0,0.8298000000000001,-1.72035,0.0909,0.0195,0.017,1.1124,0.08085,0.8909,-0.8472500000000001,0.0319,0.716,0.9326,0.11995,1.0,0.8182,10.0,0.86425,0.8642,0.9,0.01415,0.9474,-0.2629,-2.15965,0.7577499999999999,0.02665,0.8906499999999999,0.0017,-2.1671,0.93315,-0.3409999999999999,0.02855,0.51385,0.11995,-1.3876,1.0,0.9187,271.0576,0.82755,0.9,0.6125499999999999,2.3193,0.09255,0.96485,-1.382,0.8289,0.0224,1.0,1.0,10.0,0.0229499999999999,0.5136499999999999,-1.7225,0.03495,0
bbob,5,4,19.7445,1.83275,0.5656,-0.8508,0.4364,0.0856,1.0,1.01805,0.1843,1.0,0.8259,-1.71465,0.0909,0.01925,0.018,1.0806,0.0744,0.8914500000000001,-0.8426,0.03215,0.7745,0.93295,0.121,1.0,0.8182,10.0,0.8634,0.86465,0.9,0.01235,0.9471,-0.2966999999999999,-2.20905,0.7664500000000001,0.0258499999999999,0.8907,-0.0021,-2.1879,0.9335,-0.33835,0.0286,0.4884,0.121,-1.38705,1.0,0.8923,1146.0176,0.82665,0.9,0.59415,2.3193,0.08965,0.9652,-1.37495,0.82725,0.024,1.0,1.0,10.0,0.0229499999999999,0.51345,-1.7339,0.03475,0
bbob,5,5,31.0142,1.7766000000000002,0.5656,-0.8345,0.48415,0.0856,1.0,1.0086,0.1844,1.0,0.82805,-1.7047,0.0909,0.0183,0.018,1.0699999999999998,0.0744,0.896,-0.82745,0.0317,0.74685,0.9342,0.11985,1.0,0.8182,10.0,0.8649,0.86545,0.9,0.0132,0.94705,-0.2803,-2.1816,0.7438,0.0253499999999999,0.8958999999999999,-0.0078,-2.1853,0.9347,-0.3383,0.02845,0.5140499999999999,0.11985,-1.3207,1.0,0.9066,166.8976,0.827,0.9,0.60005,2.3193,0.08655,0.96535,-1.31735,0.82745,0.02375,1.0,1.0,10.0,0.0231,0.51135,-1.71435,0.0341,0
bbob,6,1,2.77775,1.6595,4.5295,-1.31705,1.25395,0.0711,0.8738,0.91255,0.1737,0.8080499999999999,0.7482,-2.4918500000000003,0.0909,0.0431,0.11515,1.11245,0.0859,0.8408500000000001,-1.30225,0.06375,1.2009,0.89615,0.1200499999999999,0.9756,0.8182,17.01685,0.8009999999999999,0.80325,0.9,0.11025,0.9595,0.6434,-3.19605,1.3116,0.0733999999999999,0.83945,0.8314999999999999,-3.14095,0.8972,-0.3298999999999999,0.0866,1.48495,0.1200499999999999,-2.03695,4567.7320500000005,0.84145,639231.52425,0.8140000000000001,0.9,0.6793,16952.3234,0.0858,1.0,-2.01575,0.75205,0.0880499999999999,14.0,0.90905,79676.04139999999,0.0963,0.52395,-2.5245,0.07085,0
bbob,6,2,5.0007,1.5224,4.4695,-1.48935,1.1729,0.0672,0.8276,0.81055,0.16925,0.7195,0.7349,-2.6923000000000004,0.0909,0.05005,0.1591,1.07725,0.0965999999999999,0.82715,-1.4672999999999998,0.0703999999999999,1.1833,0.8826499999999999,0.11945,0.96805,0.8182,22.1805,0.78375,0.78745,0.9,0.1394,0.963,0.88435,-3.36415,1.45575,0.0902,0.82385,0.8874,-3.28095,0.8842,-0.34165,0.11845,1.53295,0.11945,-2.23605,2298.11315,0.76195,546795.2076,0.81855,0.9,0.7061,15459.2774,0.0925999999999999,1.0,-2.1901,0.7410000000000001,0.109,15.0,0.8483499999999999,48972.706300000005,0.1339,0.52995,-2.74465,0.07605,0
bbob,6,3,3.63845,1.52895,4.5295,-1.4011,1.20795,0.06805,0.8737999999999999,0.8228500000000001,0.1710499999999999,0.7686,0.72375,-2.7405,0.0909,0.04645,0.1483499999999999,1.0883,0.0950999999999999,0.82865,-1.39475,0.0666,1.19455,0.8895500000000001,0.1202,0.97105,0.8182,3.6469,0.7812,0.78365,0.9,0.1235,0.9622,0.62205,-3.5054,1.4439000000000002,0.08015,0.827,0.7514000000000001,-3.4565,0.88985,-0.34535,0.10185,1.50785,0.1202,-2.1951,14515.6235,0.7979499999999999,696075.5481499999,0.8187,0.9,0.71305,16188.5969,0.0884,1.0,-2.17015,0.72715,0.10085,14.0,0.86025,53495.5877,0.12395,0.53025,-2.77615,0.0725,0
bbob,6,4,4.387700000000001,1.7346499999999998,4.6296,-1.35295,1.23685,0.06945,0.8794,0.8216,0.1745,0.8041,0.74545,-2.5671,0.0909,0.0391,0.13,1.11255,0.0947,0.8379,-1.3373,0.0611499999999999,1.2383,0.89335,0.11985,0.98425,0.8182,21.673,0.79325,0.79735,0.9,0.1135,0.96115,0.2355,-3.23055,1.5066,0.06975,0.83595,0.6343,-3.16435,0.89445,-0.33935,0.09085,1.6445,0.11985,-2.0815,3977.5735,0.76495,976960.72435,0.8159000000000001,0.9,0.63715,22353.6965,0.09045,1.0,-2.0535,0.7502,0.08625,17.0,0.9083,85399.0073,0.10665,0.5248,-2.62345,0.06765,0
bbob,6,5,2.97475,1.43485,4.2893,-1.36765,1.2284000000000002,0.0688,0.7253000000000001,0.8623000000000001,0.1616,0.56255,0.77215,-2.3996,0.0909,0.05515,0.2099,1.0784,0.091,0.8443,-1.3515,0.0733,1.3153,0.89225,0.1192,0.9312,0.9091,14.7771,0.8086,0.8105500000000001,0.9,0.1585,0.962,1.5388000000000002,-2.8916,1.5333,0.1062,0.8423,1.0861,-2.8385,0.8933,-0.351,0.12915,1.4804,0.1192,-2.0021500000000003,2043.9624,0.82075,271829.35360000003,0.8086,0.9,0.764,10209.6066,0.0955,1.0,-1.97265,0.7758499999999999,0.1376,11.0,0.74465,30095.7391,0.1593,0.5383,-2.42875,0.0795,0
bbob,7,1,4.9238,2.20125,1.9469,-1.19875,1.47825,0.07195,0.762,0.906,0.1674,0.6837,0.7834,-2.15015,0.0909,0.0477,0.1491,1.10355,0.0927,0.86075,-1.1724,0.0944,1.62255,0.9055,0.121,0.99735,0.8182,72.4473,0.8269,0.8302499999999999,0.9,0.1675499999999999,0.95895,1.664,-2.7483500000000003,1.80935,0.0781,0.85795,1.20105,-2.66885,0.90745,-0.32105,0.1123,2.0979,0.121,-1.8024,2.40965,0.70865,1720.30695,0.81075,0.9,0.50525,48.6056,0.0897,0.9999,-1.76405,0.7893,0.0829999999999999,2.0,0.92205,183.26705,0.0917,0.5324,-2.19655,0.1046499999999999,0
bbob,7,2,5.20415,1.9118,1.8468,-1.2367,1.57365,0.0698,0.6855,0.81255,0.16075,0.5702499999999999,0.77385,-2.2525,0.0909,0.05815,0.19665,1.04905,0.09395,0.8536,-1.20295,0.1056,1.72085,0.90255,0.12125,0.9964,0.8182,29.44065,0.81815,0.8222,0.9,0.2193,0.9609,1.802,-2.8692,2.0919,0.0882,0.85105,1.2343000000000002,-2.79125,0.90505,-0.33415,0.13915,2.487,0.12125,-1.8909,4.189450000000001,0.6332500000000001,1224.04705,0.8141,0.9,0.55235,38.5999,0.09035,0.9999,-1.85475,0.7796,0.0939,2.0,0.88225,128.29615,0.1138,0.5367,-2.30795,0.11055,0
bbob,7,3,4.8572500000000005,1.8146,1.8468,-1.2237,1.6027,0.06925,0.42285,0.6435500000000001,0.14005,0.2677,0.7797000000000001,-2.1988,0.0909,0.0574,0.30425,1.0438,0.09395,0.86085,-1.20265,0.10075,2.1221,0.9036,0.12135,0.996,0.9091,20.07905,0.8228,0.8264,0.9,0.24385,0.9614,3.6819,-2.7967,3.3076,0.09985,0.8574999999999999,1.5666,-2.74105,0.90505,-0.3450999999999999,0.1527,2.4348,0.12135,-1.80855,3.63395,0.65985,1126.2589,0.81745,0.9,0.5710999999999999,36.861,0.0851,0.9998,-1.7629,0.7836000000000001,0.0915,2.0,0.8455,72.62625,0.14345,0.5436000000000001,-2.2486,0.1047,0
bbob,7,4,5.599600000000001,1.7875,1.6667,-1.4309500000000002,1.4554,0.0661,0.5846,0.7475499999999999,0.1511,0.39815,0.7356499999999999,-2.6262,0.0909,0.05275,0.2566,1.0952,0.1105,0.8331,-1.40075,0.086,1.80695,0.8872,0.1194,0.9937,0.9091,27.66845,0.7887500000000001,0.7926500000000001,0.9,0.2004,0.96375,1.3811,-3.3535,2.41495,0.09565,0.8303,0.99035,-3.2727,0.8894,-0.3676,0.13735,2.0951500000000003,0.1194,-2.1535,2.33325,0.6943,943.3897,0.82665,0.9,0.6085,26.6948,0.10215,0.9996,-2.1142,0.7416,0.10555,1.0,0.8098000000000001,63.99385,0.1427,0.5433,-2.6802,0.0936,0
