"suite"	"fid"	"iid"	"run_id"	"dimensions"	"cluster"	"disp.ratio_mean_02"	"disp.ratio_mean_05"	"disp.ratio_mean_10"	"disp.ratio_mean_25"	"disp.ratio_median_02"	"disp.ratio_median_05"	"disp.ratio_median_10"	"disp.ratio_median_25"	"disp.diff_mean_02"	"disp.diff_mean_05"	"disp.diff_mean_10"	"disp.diff_mean_25"	"disp.diff_median_02"	"disp.diff_median_05"	"disp.diff_median_10"	"disp.diff_median_25"	"ela_meta.lin_simple.adj_r2"	"ela_meta.lin_simple.intercept"	"ela_meta.lin_simple.coef.min"	"ela_meta.lin_simple.coef.max"	"ela_meta.lin_simple.coef.max_by_min"	"ela_meta.lin_w_interact.adj_r2"	"ela_meta.quad_simple.adj_r2"	"ela_meta.quad_simple.cond"	"ela_meta.quad_w_interact.adj_r2"	"ela_level.mmce_lda_10"	"ela_level.mmce_qda_10"	"ela_level.mmce_mda_10"	"ela_level.lda_qda_10"	"ela_level.lda_mda_10"	"ela_level.qda_mda_10"	"ela_level.mmce_lda_25"	"ela_level.mmce_qda_25"	"ela_level.mmce_mda_25"	"ela_level.lda_qda_25"	"ela_level.lda_mda_25"	"ela_level.qda_mda_25"	"ela_level.mmce_lda_50"	"ela_level.mmce_qda_50"	"ela_level.mmce_mda_50"	"ela_level.lda_qda_50"	"ela_level.lda_mda_50"	"ela_level.qda_mda_50"	"ela_distr.skewness"	"ela_distr.kurtosis"	"ela_distr.number_of_peaks"	"ic.h.max"	"ic.eps.max"	"ic.eps.ratio"	"ic.m0"	"nbc.nn_nb.sd_ratio"	"nbc.nn_nb.mean_ratio"	"nbc.nn_nb.cor"	"nbc.dist_ratio.coeff_var"	"nbc.nb_fitness.cor"	"pca.expl_var.cov_x"	"pca.expl_var.cor_x"	"pca.expl_var.cov_init"	"pca.expl_var.cor_init"	"pca.expl_var_PC1.cov_x"	"pca.expl_var_PC1.cor_x"	"pca.expl_var_PC1.cov_init"	"pca.expl_var_PC1.cor_init"	"labels"
"11"	"bbob"	3	1	15.5	10	3	0.6863	0.74425	0.79005	0.85855	0.6844	0.7432	0.7896	0.85945	-3.97265	-3.23955	-2.6597	-1.7918	-4.0039	-3.2575	-2.6691	-1.7827	0.3974	187.11495	1.313	35.99415	26.19025	0.4073	0.922	21.6118	0.97885	0.1024	0.06795	0.094	1.48955	1.08685	0.7316	0.21405	0.12795	0.1578	1.66525	1.35825	0.80355	0.2675	0.1512	0.1613	1.7745	1.64805	0.93105	1.12855	1.5435	2	0.83165	16.077	1.4665	0.55795	0.1081	0.966	0.0991	0.0628	-0.40535	0.9	0.9	0.0909	0.9091	0.12035	0.12035	0.9989	0.15095	3
"12"	"bbob"	3	2	15.5	10	2	0.6931	0.7553	0.8052	0.88	0.6897	0.75575	0.806	0.8815	-3.88705	-3.09955	-2.46755	-1.5202	-3.9371	-3.1002	-2.46135	-1.50395	0.7213	2511.0254	1.29575	777.9603	601.7928	0.7239	0.9741	213.73485	0.9926	0.09675	0.0585	0.0882	1.64415	1.0943	0.6758	0.14195	0.0993	0.11895	1.42155	1.196	0.8405	0.0537	0.05305	0.0525	1.0216	1.02105	1.0036	1.31645	0.3224	16	0.7486	30.654	1.967	0.5404	0.1015	0.9617	0.0923	0.06745	-0.2724	0.9	0.9	0.0909	0.8182	0.12065	0.12065	1	0.17015	1
"13"	"bbob"	3	3	15.5	10	9	0.7188	0.7767	0.81985	0.88195	0.7164	0.7747	0.819	0.8813	-3.56255	-2.8288	-2.2812	-1.49535	-3.60005	-2.8591	-2.2964	-1.5063	0.69475	2858.3609	2.22965	476.80635	216.83275	0.69785	0.959	129.6424	0.9897	0.07025	0.04145	0.06295	1.7226	1.12635	0.65655	0.12885	0.07995	0.0973	1.6123	1.31255	0.8165	0.1595	0.1127	0.1132	1.4205	1.41565	0.99835	0.96995	0.3412	5	0.77785	77.0703	2.2472	0.53925	0.09385	0.9616	0.089	0.0681	-0.3523	0.9	0.9	0.0909	0.8182	0.1197	0.1197	1	0.16875	3
"14"	"bbob"	3	4	15.5	10	2	0.69555	0.75515	0.8016	0.8713	0.69455	0.75385	0.80155	0.8719	-3.85635	-3.1014	-2.513	-1.63	-3.87565	-3.12395	-2.51835	-1.62545	0.5792	1239.88915	1.77215	214.46365	124.72715	0.5833	0.92	64.4005	0.9876	0.09575	0.06195	0.08885	1.55465	1.0889	0.69305	0.17005	0.11745	0.1395	1.4517	1.22845	0.83415	0.17755	0.114	0.11185	1.56765	1.5862	1.0097	1.48805	1.8605	7.5	0.7804	27.9542	1.8669	0.55155	0.11315	0.96335	0.0996	0.06585	-0.34205	0.9	0.9	0.0909	0.8182	0.12085	0.12085	0.9999	0.1617	7
"15"	"bbob"	3	5	15.5	10	3	0.68285	0.73815	0.7829	0.8509	0.6797	0.73685	0.7827	0.85215	-4.0181	-3.3167	-2.75015	-1.88835	-4.06605	-3.33925	-2.7572	-1.87585	0.47995	984.4313	2.12345	80.64595	38.91695	0.48735	0.9332	21.26895	0.9861	0.1025	0.0742	0.0979	1.3848	1.05385	0.76325	0.21775	0.1386	0.1847	1.57355	1.17845	0.75045	0.25	0.17095	0.212	1.4612	1.1755	0.8043	1.00425	0.9264	1	0.8298	24.9179	1.6867	0.56725	0.1125	0.9667	0.1081	0.06195	-0.41255	0.9	0.9	0.0909	0.9091	0.12185	0.12185	0.9995	0.15595	4
"16"	"bbob"	4	1	15.5	10	3	0.6981	0.7465	0.7925	0.85925	0.69575	0.7456	0.79235	0.8601	-3.8243	-3.2107	-2.6284	-1.7833	-3.8608	-3.22805	-2.6354	-1.776	0.3894	1555.80555	2.3968	402.95825	170.8444	0.3928	0.79975	122.69985	0.9585	0.1001	0.0908	0.1005	1.10125	0.9963	0.90155	0.24915	0.1747	0.2174	1.43275	1.1446	0.79975	0.2773	0.1908	0.22645	1.4597	1.21825	0.84	1.82885	2.77145	11	0.75565	40.421	2.2472	0.5778	0.1152	0.96255	0.1034	0.0673	-0.3385	0.9	0.9	0.0909	0.9091	0.11965	0.11965	1	0.14945	6
"17"	"bbob"	4	2	15.5	10	2	0.7093	0.7595	0.80885	0.87955	0.70775	0.7582	0.80775	0.8795	-3.6822	-3.04665	-2.4219	-1.5262	-3.70885	-3.0686	-2.43925	-1.52945	0.6084	5382.3096	4.5982	1295.835	280.6847	0.6135	0.94385	449.86965	0.9964	0.0943	0.0667	0.0875	1.39925	1.0726	0.768	0.1711	0.11895	0.13865	1.4238	1.2284	0.8567	0.17605	0.10085	0.08765	1.75955	2.0185	1.14475	1.32095	1.0735	16	0.73405	168.7436	2.6276	0.55565	0.1094	0.9606	0.09625	0.06925	-0.3241	0.9	0.9	0.0909	0.8182	0.1193	0.1193	1	0.16285	2
"18"	"bbob"	4	3	15.5	10	2	0.69285	0.74835	0.7983	0.86655	0.68985	0.7478	0.7983	0.8672	-3.89045	-3.1876	-2.55435	-1.6905	-3.93495	-3.2002	-2.55925	-1.68395	0.5777	1650.8167	0.93045	267.01155	287.1761	0.5822	0.9197	68.1235	0.9796	0.10025	0.075	0.096	1.3442	1.04755	0.78565	0.20235	0.14865	0.17835	1.3525	1.1321	0.83495	0.21805	0.17495	0.1873	1.2465	1.16045	0.9309	1.40775	1.28935	6.5	0.7987	38.5999	1.9469	0.567	0.1081	0.96325	0.0983	0.06615	-0.34255	0.9	0.9	0.0909	0.8182	0.12025	0.12025	0.9999	0.16315	1
"19"	"bbob"	4	4	15.5	10	2	0.69315	0.74715	0.7947	0.8688	0.6928	0.74655	0.795	0.8693	-3.88715	-3.20325	-2.60065	-1.66225	-3.89745	-3.21585	-2.60205	-1.6586	0.5672	3107.7627	4.0708	782.97515	191.90025	0.57165	0.9124	448.318	0.985	0.1027	0.08225	0.10085	1.25895	1.0209	0.813	0.22955	0.1512	0.1891	1.5173	1.2184	0.7992	0.19565	0.1447	0.1425	1.3548	1.37565	1.01395	1.41215	1.2149	16	0.72745	41.37445	2.3774	0.56495	0.10585	0.9615	0.0984	0.06815	-0.31805	0.9	0.9	0.0909	0.8182	0.12145	0.12145	1	0.16085	8
"20"	"bbob"	4	5	15.5	10	3	0.69805	0.75005	0.79675	0.8639	0.69665	0.75025	0.79715	0.86475	-3.82515	-3.1659	-2.5751	-1.7243	-3.8506	-3.1688	-2.57435	-1.71635	0.52215	2867.22635	2.3224	802.1597	346.08445	0.5285	0.89595	220.24645	0.9874	0.1	0.0959	0.1	1.043	1	0.9582	0.275	0.1801	0.23955	1.5274	1.14965	0.7524	0.21485	0.1518	0.15675	1.408	1.361	0.9647	1.724	2.1047	10.5	0.73385	27.9542	2.3073	0.5696	0.10745	0.9619	0.1041	0.0678	-0.2896	0.9	0.9	0.0909	0.9091	0.12135	0.12135	1	0.1589	9
"21"	"bbob"	5	1	15.5	10	17	0.8358	0.8661	0.8945	0.9326	0.83445	0.86595	0.8949	0.93205	-2.08015	-1.69615	-1.3369	-0.85365	-2.10105	-1.70085	-1.33365	-0.8623	1	195.1376	1	10	10	1	1	16.3613	1	0.03635	0.01985	0.0322	1.83575	1.11175	0.6094	0.0132	0.02475	0.0285	0.5338	0.46555	0.8534	0.0164	0.022	0.0224	0.75075	0.7478	0.9662	0.0095	-0.2946	1	0.82665	2.3193	0.5656	0.51555	0.08205	0.94695	0.09845	0.08575	-0.33805	0.9	0.9	0.0909	0.8182	0.1196	0.1196	0.96515	0.18315	3
"22"	"bbob"	5	2	15.5	10	17	0.82255	0.8585	0.88835	0.93305	0.8208	0.85795	0.8883	0.93255	-2.24785	-1.79275	-1.41475	-0.8478	-2.27325	-1.80195	-1.4178	-0.8563	1	860.3376	1	10	10	1	1	11.548	1	0.03555	0.01935	0.0319	1.77235	1.10265	0.6157	0.0132	0.0249	0.02755	0.52205	0.4712	0.88395	0.0187	0.0241	0.0248	0.79405	0.77065	0.9823	0.0189	-0.29325	1	0.82685	2.3193	0.5656	0.51595	0.07745	0.94725	0.0967	0.0857	-0.33605	0.9	0.9	0.0909	0.8182	0.11985	0.11985	0.96545	0.1839	10
"23"	"bbob"	5	3	15.5	10	17	0.8289	0.8642	0.8909	0.93315	0.8298	0.86425	0.89065	0.9326	-2.1671	-1.72035	-1.382	-0.84725	-2.15965	-1.7225	-1.3876	-0.8555	1	271.0576	1	10	10	1	1	17.2499	1	0.03495	0.0195	0.0319	1.75	1.1124	0.61255	0.01415	0.02665	0.02855	0.51385	0.46325	0.9187	0.017	0.0224	0.02295	0.75775	0.716	0.96115	0.0017	-0.2629	1	0.82755	2.3193	0.5656	0.51365	0.08085	0.9474	0.09255	0.08555	-0.341	0.9	0.9	0.0909	0.8182	0.11995	0.11995	0.96485	0.1826	7
"24"	"bbob"	5	4	15.5	10	17	0.82725	0.86465	0.89145	0.9335	0.8259	0.8634	0.8907	0.93295	-2.1879	-1.71465	-1.37495	-0.8426	-2.20905	-1.7339	-1.38705	-0.8508	1	1146.0176	1	10	10	1	1	19.7445	1	0.03475	0.01925	0.03215	1.83275	1.0806	0.59415	0.01235	0.02585	0.0286	0.4884	0.4364	0.8923	0.018	0.024	0.02295	0.76645	0.7745	1.01805	-0.0021	-0.2967	1	0.82665	2.3193	0.5656	0.51345	0.0744	0.9471	0.08965	0.0856	-0.33835	0.9	0.9	0.0909	0.8182	0.121	0.121	0.9652	0.1843	5
"25"	"bbob"	5	5	15.5	10	17	0.82745	0.86545	0.896	0.9347	0.82805	0.8649	0.8959	0.9342	-2.1853	-1.7047	-1.31735	-0.82745	-2.1816	-1.71435	-1.3207	-0.8345	1	166.8976	1	10	10	1	1	31.0142	1	0.0341	0.0183	0.0317	1.7766	1.07	0.60005	0.0132	0.02535	0.02845	0.51405	0.48415	0.9066	0.018	0.02375	0.0231	0.7438	0.74685	1.0086	-0.0078	-0.2803	1	0.827	2.3193	0.5656	0.51135	0.0744	0.94705	0.08655	0.0856	-0.3383	0.9	0.9	0.0909	0.8182	0.11985	0.11985	0.96535	0.1844	4
"26"	"bbob"	6	1	15.5	10	9	0.75205	0.80325	0.84085	0.8972	0.7482	0.801	0.83945	0.89615	-3.14095	-2.49185	-2.01575	-1.30225	-3.19605	-2.5245	-2.03695	-1.31705	0.80805	639231.52425	4567.73205	79676.0414	17.01685	0.90905	0.8738	2.77775	0.9756	0.07085	0.0431	0.06375	1.6595	1.11245	0.6793	0.11025	0.0734	0.0866	1.48495	1.25395	0.84145	0.11515	0.08805	0.0963	1.3116	1.2009	0.91255	0.8315	0.6434	14	0.814	16952.3234	4.5295	0.52395	0.0859	0.9595	0.0858	0.0711	-0.3299	0.9	0.9	0.0909	0.8182	0.12005	0.12005	1	0.1737	10
"27"	"bbob"	6	2	15.5	10	9	0.741	0.78745	0.82715	0.8842	0.7349	0.78375	0.82385	0.88265	-3.28095	-2.6923	-2.1901	-1.4673	-3.36415	-2.74465	-2.23605	-1.48935	0.7195	546795.2076	2298.11315	48972.7063	22.1805	0.84835	0.8276	5.0007	0.96805	0.07605	0.05005	0.0704	1.5224	1.07725	0.7061	0.1394	0.0902	0.11845	1.53295	1.1729	0.76195	0.1591	0.109	0.1339	1.45575	1.1833	0.81055	0.8874	0.88435	15	0.81855	15459.2774	4.4695	0.52995	0.0966	0.963	0.0926	0.0672	-0.34165	0.9	0.9	0.0909	0.8182	0.11945	0.11945	1	0.16925	7
"28"	"bbob"	6	3	15.5	10	9	0.72715	0.78365	0.82865	0.88985	0.72375	0.7812	0.827	0.88955	-3.4565	-2.7405	-2.17015	-1.39475	-3.5054	-2.77615	-2.1951	-1.4011	0.7686	696075.54815	14515.6235	53495.5877	3.6469	0.86025	0.8738	3.63845	0.97105	0.0725	0.04645	0.0666	1.52895	1.0883	0.71305	0.1235	0.08015	0.10185	1.50785	1.20795	0.79795	0.14835	0.10085	0.12395	1.4439	1.19455	0.82285	0.7514	0.62205	14	0.8187	16188.5969	4.5295	0.53025	0.0951	0.9622	0.0884	0.06805	-0.34535	0.9	0.9	0.0909	0.8182	0.1202	0.1202	1	0.17105	8
"29"	"bbob"	6	4	15.5	10	9	0.7502	0.79735	0.8379	0.89445	0.74545	0.79325	0.83595	0.89335	-3.16435	-2.5671	-2.0535	-1.3373	-3.23055	-2.62345	-2.0815	-1.35295	0.8041	976960.72435	3977.5735	85399.0073	21.673	0.9083	0.8794	4.3877	0.98425	0.06765	0.0391	0.06115	1.73465	1.11255	0.63715	0.1135	0.06975	0.09085	1.6445	1.23685	0.76495	0.13	0.08625	0.10665	1.5066	1.2383	0.8216	0.6343	0.2355	17	0.8159	22353.6965	4.6296	0.5248	0.0947	0.96115	0.09045	0.06945	-0.33935	0.9	0.9	0.0909	0.8182	0.11985	0.11985	1	0.1745	3
"30"	"bbob"	6	5	15.5	10	10	0.77585	0.81055	0.8443	0.8933	0.77215	0.8086	0.8423	0.89225	-2.8385	-2.3996	-1.97265	-1.3515	-2.8916	-2.42875	-2.00215	-1.36765	0.56255	271829.3536	2043.9624	30095.7391	14.7771	0.74465	0.7253	2.97475	0.9312	0.0795	0.05515	0.0733	1.43485	1.0784	0.764	0.1585	0.1062	0.12915	1.4804	1.2284	0.82075	0.2099	0.1376	0.1593	1.5333	1.3153	0.8623	1.0861	1.5388	11	0.8086	10209.6066	4.2893	0.5383	0.091	0.962	0.0955	0.0688	-0.351	0.9	0.9	0.0909	0.9091	0.1192	0.1192	1	0.1616	3
"31"	"bbob"	7	1	15.5	10	9	0.7893	0.83025	0.86075	0.90745	0.7834	0.8269	0.85795	0.9055	-2.66885	-2.15015	-1.76405	-1.1724	-2.74835	-2.19655	-1.8024	-1.19875	0.6837	1720.30695	2.40965	183.26705	72.4473	0.92205	0.762	4.9238	0.99735	0.10465	0.0477	0.0944	2.20125	1.10355	0.50525	0.16755	0.0781	0.1123	2.0979	1.47825	0.70865	0.1491	0.083	0.0917	1.80935	1.62255	0.906	1.20105	1.664	2	0.81075	48.6056	1.9469	0.5324	0.0927	0.95895	0.0897	0.07195	-0.32105	0.9	0.9	0.0909	0.8182	0.121	0.121	0.9999	0.1674	3
"32"	"bbob"	7	2	15.5	10	2	0.7796	0.8222	0.8536	0.90505	0.77385	0.81815	0.85105	0.90255	-2.79125	-2.2525	-1.85475	-1.20295	-2.8692	-2.30795	-1.8909	-1.2367	0.57025	1224.04705	4.18945	128.29615	29.44065	0.88225	0.6855	5.20415	0.9964	0.11055	0.05815	0.1056	1.9118	1.04905	0.55235	0.2193	0.0882	0.13915	2.487	1.57365	0.63325	0.19665	0.0939	0.1138	2.0919	1.72085	0.81255	1.2343	1.802	2	0.8141	38.5999	1.8468	0.5367	0.09395	0.9609	0.09035	0.0698	-0.33415	0.9	0.9	0.0909	0.8182	0.12125	0.12125	0.9999	0.16075	4
"33"	"bbob"	7	3	15.5	10	3	0.7836	0.8264	0.86085	0.90505	0.7797	0.8228	0.8575	0.9036	-2.74105	-2.1988	-1.7629	-1.20265	-2.7967	-2.2486	-1.80855	-1.2237	0.2677	1126.2589	3.63395	72.62625	20.07905	0.8455	0.42285	4.85725	0.996	0.1047	0.0574	0.10075	1.8146	1.0438	0.5711	0.24385	0.09985	0.1527	2.4348	1.6027	0.65985	0.30425	0.0915	0.14345	3.3076	2.1221	0.64355	1.5666	3.6819	2	0.81745	36.861	1.8468	0.5436	0.09395	0.9614	0.0851	0.06925	-0.3451	0.9	0.9	0.0909	0.9091	0.12135	0.12135	0.9998	0.14005	2
"34"	"bbob"	7	4	15.5	10	3	0.7416	0.79265	0.8331	0.8894	0.73565	0.78875	0.8303	0.8872	-3.2727	-2.6262	-2.1142	-1.40075	-3.3535	-2.6802	-2.1535	-1.43095	0.39815	943.3897	2.33325	63.99385	27.66845	0.8098	0.5846	5.5996	0.9937	0.0936	0.05275	0.086	1.7875	1.0952	0.6085	0.2004	0.09565	0.13735	2.09515	1.4554	0.6943	0.2566	0.10555	0.1427	2.41495	1.80695	0.74755	0.99035	1.3811	1	0.82665	26.6948	1.6667	0.5433	0.1105	0.96375	0.10215	0.0661	-0.3676	0.9	0.9	0.0909	0.9091	0.1194	0.1194	0.9996	0.1511	4
"35"	"bbob"	7	5	15.5	10	2	0.75505	0.80185	0.843	0.8956	0.74855	0.7977	0.8393	0.89365	-3.10295	-2.5103	-1.98875	-1.32275	-3.19065	-2.56725	-2.0394	-1.35045	0.61285	1080.76545	3.7964	111.4021	30.2881	0.86275	0.74325	7.18635	0.9944	0.10405	0.05355	0.0957	1.951	1.09015	0.56015	0.1854	0.0855	0.1304	2.18855	1.42075	0.65875	0.18765	0.09865	0.1174	1.8869	1.57485	0.8304	1.02035	1.0025	1	0.8179	30.654	1.7267	0.5365	0.0997	0.96225	0.09715	0.06815	-0.3417	0.9	0.9	0.0909	0.8182	0.12065	0.12065	0.9998	0.1627	7
