suite,fid,iid,run_id,dimensions,cluster,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.mmce_mda_10,ela_level.lda_qda_10,ela_level.lda_mda_10,ela_level.qda_mda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.mmce_mda_25,ela_level.lda_qda_25,ela_level.lda_mda_25,ela_level.qda_mda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.mmce_mda_50,ela_level.lda_qda_50,ela_level.lda_mda_50,ela_level.qda_mda_50,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ic.h.max,ic.eps.s,ic.eps.max,ic.eps.ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,pca.expl_var.cov_x,pca.expl_var.cor_x,pca.expl_var.cov_init,pca.expl_var.cor_init,pca.expl_var_PC1.cov_x,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init,pca.expl_var_PC1.cor_init
all,11,1,15.5,10.0,13.0,0.72435,0.8246,0.8856999999999999,0.9021,0.7252,0.82385,0.8833500000000001,0.89985,-1.7456999999999998,-1.1109499999999999,-0.72375,-0.61985,-1.74325,-1.11765,-0.73995,-0.63585,0.01015,-2.989285402074755e+18,9.672334661075814e+16,4.958692839889715e+17,6.38115,0.024,0.0283,4.139900000000001,0.12065000000000001,0.0818,0.0588,0.0771,1.3925,1.0714,0.7703,0.17955,0.11865,0.1529,1.50415,1.16365,0.7795000000000001,0.26315,0.17885,0.2266,1.45595,1.16425,0.79345,19.447499999999998,477.56145,54.0,0.55985,2.817462794715447,105472289.32335001,13.1081,0.56085,0.1108,0.9595,0.10544999999999999,0.07114999999999999,-0.07375000000000001,0.9,0.9,0.0909,0.9091,0.12104999999999999,0.12104999999999999,1.0,0.11085
all,12,1,15.5,10.0,23.0,0.61185,0.6713,0.7218,0.80025,0.6165499999999999,0.67595,0.72695,0.80565,-98.32995,-83.26785,-70.47885,-50.60875,-97.30775,-82.23715000000001,-69.30369999999999,-49.32345,0.010249999999999999,1209503708.968,47057.93305,767197.04015,15.40805,0.026799999999999997,0.96055,1.0203,0.9989,0.1,0.09795000000000001,0.1,1.02105,1.0,0.9794,0.25,0.2075,0.2502,1.2048,0.999,0.82965,0.47525,0.1011,0.394,4.7123,1.20305,0.25605,1.2707,2.67575,1.0,0.8328,7.3724,2827817.9796,6.7317,0.56315,0.1632,0.9771,0.14950000000000002,0.048049999999999995,-0.4646,0.9,0.9,0.0909,0.9091,0.12165000000000001,0.12165000000000001,1.0,0.11335
all,13,1,15.5,10.0,23.0,0.63945,0.6908000000000001,0.73755,0.81025,0.6351,0.6910000000000001,0.73935,0.8138,-91.3297,-78.338,-66.47135,-48.0743,-92.6018,-78.40530000000001,-66.14325,-47.252399999999994,0.009649999999999999,30000006584.524452,291582.56485,9019896.8291,29.269849999999998,0.028,1.0,1000000.0,1.0,0.1,0.0975,0.1,1.0256,1.0,0.975,0.25,0.2071,0.2502,1.207,0.999,0.8270500000000001,0.47204999999999997,0.1071,0.38715,4.39795,1.2147999999999999,0.27565,0.3544,0.14989999999999998,1.0,0.8489,8.3934,42917323.7842,7.882899999999999,0.5645,0.1609,0.97505,0.1444,0.05085,-0.5281,0.9,0.9,0.0909,0.9091,0.1214,0.1214,1.0,0.1117
all,14,1,15.5,10.0,14.0,1.3434499999999998,1.2904,1.2484,1.1801,1.3590499999999999,1.3058,1.2622,1.1917,0.87015,0.7357,0.6292,0.45630000000000004,0.91125,0.77625,0.66555,0.48655000000000004,0.00975,-3.3333,0.0056500000000000005,0.1041,20.7682,0.024149999999999998,0.9531000000000001,1.02645,0.9531,0.1,0.0987,0.1,1.0133,1.0,0.98685,0.25,0.20705,0.248,1.20735,1.0081,0.83355,0.4736,0.12675,0.3962,3.73205,1.1970999999999998,0.31775,-0.39695,0.28785,1.0,0.85075,0.4655,0.5066,-0.0551,0.57495,0.031100000000000003,0.88235,0.13125,0.1497,-0.5638,0.9,0.9,0.9091,0.9091,0.1211,0.1211,0.24295,0.1127
all,15,1,15.5,10.0,5.0,0.7938000000000001,0.8382499999999999,0.8693500000000001,0.91525,0.7935,0.8381000000000001,0.86975,0.91585,-5.22305,-4.0981000000000005,-3.31065,-2.14635,-5.24195,-4.1099499999999995,-3.30595,-2.13525,0.0012000000000000001,-0.6184499999999999,5.4712150000000004e-05,0.0009,18.865949999999998,0.0031999999999999997,0.1688,1.2567,0.1683,0.1,0.1,0.1,1.0,1.0,1.0,0.25,0.25,0.25,1.0,1.0,1.0,0.493,0.3893,0.46895,1.2694,1.0513499999999998,0.8293999999999999,-0.28535,-0.1471,1.0,0.87045,-1.0961,0.0127,-1.6567,0.6599,0.06075,0.93475,0.05365,0.0989,-0.647,0.9,0.9,0.8182,0.9091,0.12010000000000001,0.12010000000000001,0.12010000000000001,0.10994999999999999
all,16,1,15.5,10.0,6.0,0.97605,0.97555,0.9757,0.9762,0.9881,0.9877,0.98755,0.98775,-0.6067499999999999,-0.6199,-0.61485,-0.60355,-0.3026,-0.31155,-0.3167,-0.3103,0.00185,-0.394,0.0001,0.0022,15.19205,0.0030499999999999998,0.035100000000000006,1.82865,0.3222,0.1,0.1,0.1,1.0,1.0,1.0,0.25,0.25,0.25,1.0,1.0,1.0,0.49145,0.4689,0.49235,1.0441500000000001,0.99575,0.9550000000000001,-0.5597000000000001,-1.27645,21.0,0.8383,-0.9159,0.0183,-1.2763,0.62635,0.05655,0.9259,0.0466,0.111,-0.60345,0.9,0.9,0.8182,0.9091,0.1207,0.1207,0.1206,0.1105
all,17,1,15.5,10.0,11.0,0.9758,0.9756,0.97555,0.976,0.9871,0.9878,0.98735,0.98755,-0.6128499999999999,-0.61765,-0.6193,-0.60755,-0.32745,-0.309,-0.32055,-0.31615,0.0016,0.05845,0.0017000000000000001,0.0103,6.13115,0.02695,0.01335,1.88865,0.1645,0.1,0.1,0.1,1.0,1.0,1.0,0.25,0.25,0.25,1.0,1.0,1.0,0.4917,0.46785,0.4918,1.045,0.9964500000000001,0.9546,60.700900000000004,4212.430899999999,13.5,0.7345999999999999,-1.1562,0.0,-3.8388,0.6294500000000001,0.047299999999999995,0.926,0.03905,0.11075,-0.0216,0.9,0.9,0.8182,0.9091,0.12045,0.12045,0.12075,0.1096
all,18,1,15.5,10.0,6.0,0.9966999999999999,0.99775,0.99775,0.99815,0.99595,0.998,0.9984,0.9984500000000001,-0.0084,-0.00575,-0.0056500000000000005,-0.0047,-0.01035,-0.0051,-0.00415,-0.00405,-0.00045,-0.3125,0.0002,0.0036,20.3416,-0.0008,-0.00045,19.884700000000002,-0.0002,0.1,0.1,0.1,1.0,1.0,1.0,0.25,0.25,0.25,1.0,1.0,1.0,0.4999,0.5016,0.5005999999999999,1.0007000000000001,1.0018500000000001,1.0026,-0.24380000000000002,-0.09634999999999999,1.0,0.87115,-0.2953,0.0802,-0.8559,0.66535,0.04865,0.9122,0.04605,0.123,-0.6355500000000001,0.9,0.9,0.8182,0.9091,0.11954999999999999,0.11954999999999999,0.1191,0.1087
all,19,1,15.5,10.0,6.0,1.0281500000000001,1.0263499999999999,1.0221,1.01545,1.0284,1.02645,1.0226,1.0157500000000002,0.035699999999999996,0.033350000000000005,0.028,0.0196,0.036000000000000004,0.033549999999999996,0.0287,0.019999999999999997,0.0126,-0.2546,0.008650000000000001,0.0206,2.3358999999999996,0.0127,0.0203,4.13295,0.04415,0.1,0.1,0.1,1.0,1.0,1.0,0.25,0.2501,0.2501,0.9995,0.9995,1.0,0.46795,0.4688,0.47265,0.9962,0.99055,0.9930000000000001,-0.2141,-0.11985000000000001,1.0,0.8712,0.005,0.16,-0.5556,0.66475,0.0475,0.9068,0.054599999999999996,0.12764999999999999,-0.6285000000000001,0.9,0.9,0.8182,0.9091,0.1211,0.1211,0.11925,0.1109
all,20,1,15.5,10.0,4.0,0.643,0.67835,0.74935,0.81235,0.64605,0.68175,0.75255,0.8159000000000001,-4.5221,-4.075100000000001,-3.17485,-2.3770499999999997,-4.4907,-4.0398,-3.1397500000000003,-2.3367,0.00895,8.3733,0.0022,0.0542,23.7775,0.022350000000000002,0.92515,1.0311,0.92515,0.1,0.099,0.1,1.0101,1.0,0.99,0.25,0.2121,0.25,1.1786,1.0,0.8487,0.47325,0.1048,0.3961,4.5361,1.2018,0.26605,0.3307,0.18730000000000002,15.0,0.8538,0.1652,0.2537,-0.3353,0.5874,0.13169999999999998,0.96965,0.11895,0.058249999999999996,-0.54045,0.9,0.9,0.9091,0.9091,0.12085,0.12085,0.11255,0.1118
all,21,1,15.5,10.0,4.0,0.6606,0.71365,0.75725,0.8241,0.66145,0.7147,0.75895,0.827,-0.8597,-0.7253499999999999,-0.61495,-0.4456,-0.85915,-0.7241,-0.6116999999999999,-0.43895,0.0075,1.6032,0.004200000000000001,0.0744,19.285899999999998,0.02165,0.8435,2.0161,0.84545,0.1,0.0985,0.1,1.0152,1.0,0.985,0.25,0.21295,0.25029999999999997,1.17405,0.99875,0.8509,0.47975,0.16525,0.38780000000000003,2.9122500000000002,1.23315,0.4229,0.70265,0.7161,1.0,0.85655,0.4254,0.41185,-0.1351,0.60185,0.1296,0.9718,0.1109,0.05615,-0.5359,0.9,0.9,0.9091,0.9091,0.12104999999999999,0.12104999999999999,0.161,0.1117
all,22,1,15.5,10.0,17.0,0.9667,0.96095,0.9572499999999999,0.9553499999999999,0.96655,0.96075,0.9579500000000001,0.95565,-8.43895,-9.89505,-10.83595,-11.3092,-8.4878,-9.958400000000001,-10.68015,-11.2545,1.0,4.60315e-10,1.0,1000000.0,1000000.0,1.0,1.0,96.91704999999999,1.0,0.06584999999999999,0.005050000000000001,0.0633,13.0247,1.057,0.0818,0.0449,0.0076,0.0448,5.9024,1.00275,0.16875,0.0056,0.00995,0.00955,0.5621,0.6053,1.0219,4.02045e-07,-1.2004,10.0,0.8249,5.8909,138119.6566,5.3704,0.5249,0.0634,0.94085,0.08715,0.09555,-0.3129,0.9,0.9,0.0909,0.8182,0.1201,0.1201,1.0,0.1835
all,23,1,15.5,10.0,23.0,0.6568,0.7138,0.7597,0.8304,0.65335,0.71335,0.7604,0.8322499999999999,-8.694849999999999,-7.2514,-6.0878499999999995,-4.29625,-8.7997,-7.2767,-6.08015,-4.2577,0.0115,433793.66705,64.00405,2447.2929,40.1592,0.02605,0.9218500000000001,210.5582,0.9260999999999999,0.1,0.0978,0.1,1.023,1.0,0.9775,0.25,0.20675,0.2499,1.2092,1.0005,0.82745,0.4714,0.13590000000000002,0.3558,3.4732000000000003,1.3266499999999999,0.383,0.69035,0.54525,1.0,0.85265,4.8498,10450.435,4.2693,0.5893,0.12705,0.9719,0.11465,0.0557,-0.5198,0.9,0.9,0.0909,0.9091,0.12290000000000001,0.12290000000000001,1.0,0.11315
all,24,1,15.5,10.0,5.0,0.6755,0.7457,0.79935,0.8943,0.67955,0.7495499999999999,0.8032,0.89715,-4.20965,-3.2986,-2.6031,-1.37085,-4.164949999999999,-3.2553,-2.55815,-1.3365,0.00065,-0.0239,1.0746849999999999e-06,0.0002,18.38365,0.00015000000000000001,0.1392,1.28285,0.15885,0.1,0.1,0.1,1.0,1.0,1.0,0.25,0.24955,0.25,1.00175,1.0,0.9982500000000001,0.4962,0.4485,0.4866,1.11205,1.017,0.91885,-1.03445,2.503,17.0,0.87395,-1.7568,0.0024,-2.3373,0.65945,0.08625,0.9392,0.0796,0.0898,-0.6829000000000001,0.9,0.9,0.8182,0.9091,0.1212,0.1212,0.1212,0.11069999999999999
all,25,1,15.5,10.0,6.0,0.9998,1.0003,0.9999,0.9997,0.9998,1.0004,1.0002,0.99955,-0.055349999999999996,0.07155,-0.0247,-0.08585000000000001,-0.0515,0.0965,0.05135,-0.11785000000000001,-0.0003,21.693,2.0117e-06,0.0001,20.9284,-0.00065,-0.00039999999999999996,24.546,-0.00225,0.1,0.1,0.1,1.0,1.0,1.0,0.25,0.25,0.25,1.0,1.0,1.0,0.50205,0.50145,0.50015,0.998,1.0008499999999998,1.0038,-0.6315500000000001,0.49275,1.0,0.8685,-1.977,0.0015500000000000002,-2.5576,0.6669,0.04675,0.9117,0.05405,0.1235,-0.6566,0.9,0.9,0.8182,0.9091,0.1216,0.1216,0.1216,0.1106
all,26,1,15.5,10.0,19.0,0.7577,0.7883,0.81505,0.8593999999999999,0.75785,0.7892,0.8163,0.8612,-3.06995,-2.6818,-2.34285,-1.78065,-3.0732,-2.6754,-2.3308,-1.7618,0.0066,209.8615,0.0292,0.7741,25.1357,0.01795,0.591,1.0949499999999999,0.59065,0.1,0.1,0.1,1.0,1.0,1.0,0.25,0.2402,0.25,1.04085,1.0,0.96075,0.4818,0.2551,0.42569999999999997,1.8956,1.12885,0.59975,0.29585,0.22925,1.0,0.8666,1.4865,5.0782,0.9259,0.6365000000000001,0.08385000000000001,0.9531,0.06839999999999999,0.08065,-0.5893999999999999,0.9,0.9,0.0909,0.9091,0.12090000000000001,0.12090000000000001,0.95415,0.112
all,27,1,15.5,10.0,17.0,0.7826,0.8296,0.87305,0.92455,0.7808999999999999,0.829,0.87205,0.9238,-2.75395,-2.1581,-1.608,-0.9553,-2.78035,-2.16995,-1.6241,-0.9666999999999999,0.9972,-221.53719999999998,1.9065500000000002,5.3268,2.7952500000000002,0.9973,0.9999,5.1156,1.0,0.03445,0.02185,0.0318,1.5629,1.0524,0.6747000000000001,0.021249999999999998,0.02565,0.02785,0.81615,0.7679,0.9297,0.01975,0.0238,0.026250000000000002,0.83165,0.7565500000000001,0.93305,0.01815,-0.13635,1.0,0.8247,1.0661,2.3193,0.5656,0.5096499999999999,0.08049999999999999,0.9513,0.09355,0.0809,-0.34035000000000004,0.9,0.9,0.0909,0.8182,0.11985,0.11985,0.9638,0.1829
all,28,1,15.5,10.0,21.0,0.83665,0.86035,0.88115,0.9139,0.83705,0.8595999999999999,0.8815,0.91405,-41.38185,-35.38065,-30.10115,-21.8136,-41.3664,-35.6363,-30.083,-21.807250000000003,0.00295,4248685422.9093504,112583.43705,1937122.5935499999,19.3941,0.013999999999999999,1.0,1000000.0,1.0,0.1,0.0852,0.1,1.17385,1.0,0.85285,0.25,0.1534,0.1122,1.63,2.2283999999999997,1.3465,0.4878,0.0771,0.09095,6.3104,5.341749999999999,0.8463499999999999,0.60405,-0.7784,7.0,0.8144,7.953,10280447.3209,7.3724,0.5592,0.0809,0.9541,0.07495,0.079,-0.44455,0.9,0.9,0.0909,0.9091,0.11885000000000001,0.11885000000000001,1.0,0.10844999999999999
all,29,1,15.5,10.0,4.0,0.611,0.6703,0.72075,0.7996000000000001,0.6155999999999999,0.6753,0.72595,0.8047,-0.9854499999999999,-0.8352999999999999,-0.7074,-0.50765,-0.9756,-0.82385,-0.69555,-0.4956,0.007050000000000001,-0.21234999999999998,0.0003,0.0084,29.4013,0.016550000000000002,0.89755,1.03415,0.9898,0.1,0.09795000000000001,0.1,1.02105,1.0,0.9794,0.25,0.2069,0.2502,1.2085,0.999,0.8255,0.4699,0.10525,0.39385000000000003,4.47415,1.1947999999999999,0.26975000000000005,-1.0241500000000001,1.3723,1.0,0.83345,-0.4955,0.042,-1.1161,0.5637,0.15125,0.97665,0.13490000000000002,0.04865,-0.5941000000000001,0.9,0.9,0.8182,0.9091,0.11955,0.11955,0.11915,0.11035
all,30,1,15.5,10.0,8.0,0.79895,0.84205,0.88045,0.92845,0.7989999999999999,0.84325,0.8812500000000001,0.9295,-0.50935,-0.40015,-0.30285,-0.18135,-0.51015,-0.39775000000000005,-0.30145,-0.17895,0.24825,-0.5141,0.07125000000000001,0.09395,1.31285,0.25339999999999996,0.30635,1.51275,0.97105,0.10364999999999999,0.0975,0.10214999999999999,1.0652499999999998,1.0133,0.9531000000000001,0.24080000000000001,0.2224,0.23399999999999999,1.07785,1.0339999999999998,0.9582,0.32575,0.31445,0.32235,1.03125,1.00915,0.9785999999999999,-0.09179999999999999,-0.12514999999999998,1.0,0.86025,-0.035,0.1528,-0.5956,0.6007499999999999,0.0701,0.9436,0.06765,0.092,-0.5166999999999999,0.9,0.9,0.9091,0.9091,0.1195,0.1195,0.11815,0.13785
all,31,1,15.5,10.0,4.0,0.61145,0.6709499999999999,0.72235,0.80035,0.6154999999999999,0.67575,0.7274,0.80585,-98.4459,-83.3633,-70.3418,-50.5826,-97.59445,-82.2927,-69.17660000000001,-49.26455,0.00885,9.3333,0.0001,0.00245,23.87755,0.0233,0.9998,1.00135,0.9998,0.1,0.0979,0.1,1.0217,1.0,0.9788,0.25,0.20729999999999998,0.2501,1.2059,0.9995,0.8285,0.472,0.1028,0.39615,4.588699999999999,1.1917499999999999,0.26085,0.37470000000000003,0.2229,1.0,0.8461,-1.1762,0.0121,-1.6767,0.56465,0.15825,0.9769,0.1411,0.0482,-0.5297499999999999,0.9,0.9,0.8182,0.9091,0.11935000000000001,0.11935000000000001,0.1193,0.1112
all,32,1,15.5,10.0,23.0,0.64595,0.70465,0.7514,0.82235,0.6434500000000001,0.7030000000000001,0.7518,0.82425,-4.592499999999999,-3.83075,-3.2249,-2.3046499999999996,-4.6328,-3.8586,-3.2252,-2.28325,0.00805,480.5974,0.1522,2.89845,20.085250000000002,0.022,1.0,10.0,1.0,0.1,0.0965,0.1,1.0363,1.0,0.965,0.25,0.19995000000000002,0.24659999999999999,1.2504,1.0136500000000002,0.81135,0.4752,0.10195,0.33540000000000003,4.67485,1.411,0.30584999999999996,0.3689,0.0621,1.0,0.8466,1.9269,14.6611,1.4064,0.5640499999999999,0.14515,0.9731,0.12605,0.0536,-0.5229,0.9,0.9,0.0909,0.9091,0.11995,0.11995,0.9966,0.1114
